Date,Workout Name,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes
2018-10-21 16:49:52,"New Routine #1","High Bar Squat",1,200,10,0,0,"",""
2018-10-21 16:50:43,"New Routine #2","High Bar Squat",1,220,10,0,0,"",""
2018-10-21 16:50:43,"New Routine #2","High Bar Squat",2,180,10,0,0,"",""
2018-10-21 16:50:43,"New Routine #2","High Bar Squat",3,180,10,0,0,"",""
2018-10-21 16:50:43,"New Routine #2","High Bar Squat",4,180,10,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Chest Press (Machine)",1,200,10,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Chest Press (Machine)",2,210,10,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Chest Press (Machine)",3,210,10,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Chest Fly (Dumbbell)",1,20,14,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Chest Fly (Dumbbell)",2,20,12,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Chest Fly (Dumbbell)",3,20,10,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Seated Overhead Press (Dumbbell)",1,35,12,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Seated Overhead Press (Dumbbell)",2,35,12,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Seated Overhead Press (Dumbbell)",3,35,12,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Lateral Raise (Machine)",1,75,12,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Lateral Raise (Machine)",2,75,11,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Lateral Raise (Machine)",3,75,9,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Chest Supported Row Shoulder Width Overhand",1,75,12,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Chest Supported Row Shoulder Width Overhand",2,75,12,0,0,"",""
2018-11-28 11:15:00,"6 Day Bodybuilding A #1","Chest Supported Row Shoulder Width Overhand",3,75,10,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Hack Squat",1,110,10,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Hack Squat",2,110,10,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Hack Squat",3,110,12,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Bulgarian Split Squat",1,15,8,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Bulgarian Split Squat",2,10,10,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Bulgarian Split Squat",3,0,14,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Seated Leg Curl (Machine)",1,60,20,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Seated Leg Curl (Machine)",2,70,13,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Seated Leg Curl (Machine)",3,70,12,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Standing Calf Raise (Machine)",1,65,15,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Standing Calf Raise (Machine)",2,65,13,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Standing Calf Raise (Machine)",3,65,12,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Standing Calf Raise (Machine)",4,65,10,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Standing Calf Raise (Machine)",5,60,12,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Standing Calf Raise (Machine)",6,60,13,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Crunch (Machine)",1,10,15,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Crunch (Machine)",2,10,10,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Crunch (Machine)",3,10,10,0,0,"",""
2018-11-29 13:39:10,"6 Day Bodybuilding B #1","Reverse Crunch",1,0,15,0,0,"",""
2018-12-01 15:17:51,"Bridge A #1","Squat (Barbell)",1,111,5,0,0,"",""
2018-12-01 15:17:51,"Bridge A #1","Squat (Barbell)",2,155.5,3,0,0,"",""
2018-12-01 15:17:51,"Bridge A #1","Squat (Barbell)",3,200,1,0,0,"",""
2018-12-01 15:17:51,"Bridge A #1","Squat (Barbell)",4,222,4,0,0,"",""
2018-12-01 15:17:51,"Bridge A #1","Squat (Barbell)",5,230,4,0,0,"",""
2018-12-01 15:17:51,"Bridge A #1","Squat (Barbell)",6,240,4,0,0,"",""
2018-12-01 15:17:51,"Bridge A #1","Bench Press (Barbell)",1,98,5,0,0,"",""
2018-12-01 15:17:51,"Bridge A #1","Bench Press (Barbell)",2,137,3,0,0,"",""
2018-12-01 15:17:51,"Bridge A #1","Bench Press (Barbell)",3,176.5,1,0,0,"",""
2018-12-01 15:17:51,"Bridge A #1","Bench Press (Barbell)",4,175,4,0,0,"",""
2018-12-01 15:17:51,"Bridge A #1","Bench Press (Barbell)",5,180,4,0,0,"",""
2018-12-01 15:17:51,"Bridge A #1","Bench Press (Barbell)",6,185,4,0,0,"",""
