Date,Recorded,Moving Average
2011-09-18,167.00,167.00
2012-09-30,164.00,164.10
2013-06-06,169.90,169.70
2013-06-23,170.00,169.00
2013-06-24,166.80,168.80
2013-06-26,168.80,168.70
2013-06-28,169.00,168.50
2013-06-30,167.70,168.30
2013-07-10,168.30,167.60
2013-07-11,167.80,167.50
2013-07-12,168.30,167.40
2013-07-15,164.70,166.90
2013-07-16,165.50,166.90
2013-07-23,168.00,166.80
2013-07-27,165.80,166.50
2013-09-21,168.00,167.80
2013-10-01,167.80,167.80
2013-10-02,167.80,167.80
2013-10-03,168.60,167.90
2013-10-04,167.40,167.80
2013-10-06,167.60,167.80
2013-10-07,167.60,167.80
2013-10-08,167.80,167.80
2013-10-09,167.60,167.80
2013-10-10,166.80,167.80
2013-10-11,166.80,167.80
2013-10-12,167.60,167.80
2013-10-14,166.80,167.90
2013-10-15,168.80,168.00
2013-10-18,169.00,168.10
2013-10-20,169.00,168.10
2013-10-21,170.00,168.10
2013-10-31,166.30,167.10
2013-11-05,165.80,166.80
2013-11-15,168.30,166.70
2013-11-19,165.00,166.20
2013-11-21,165.60,166.10
2013-11-22,165.60,166.10
2013-11-25,166.30,166.10
2013-11-26,164.30,165.90
2013-12-02,164.30,166.20
2013-12-12,169.00,167.90
2013-12-13,169.00,168.00
2014-01-16,170.00,169.30
2014-01-22,170.00,168.80
2014-01-24,166.80,168.30
2014-01-26,168.60,168.20
2014-01-28,170.00,168.10
2014-01-31,164.60,167.40
2014-02-02,164.60,167.20
2014-02-05,167.60,167.20
2014-02-06,167.00,167.20
2014-02-11,167.00,167.10
2014-02-16,167.00,167.00
2014-02-21,167.00,167.00
2014-04-15,167.00,167.70
2014-05-08,171.00,170.50
2014-05-27,172.00,172.10
2014-06-23,174.00,173.90
2014-07-13,175.00,174.20
2014-07-24,173.00,173.70
2014-08-05,172.50,173.90
2014-08-12,176.00,174.90
2014-08-17,176.00,175.20
2014-08-20,175.00,175.30
2014-09-09,177.00,176.30
2014-09-18,177.00,176.00
2014-09-20,175.00,175.80
2014-09-23,175.00,175.60
2014-10-07,175.00,175.10
2014-11-04,174.80,176.10
2014-11-05,175.30,176.20
2014-11-12,178.30,177.40
2014-11-14,177.70,177.70
2014-11-15,181.20,178.00
2014-11-16,179.00,177.90
2014-11-19,180.00,178.20
2014-11-22,180.00,178.20
2014-11-25,179.00,178.00
2014-11-27,180.00,177.90
2014-12-04,174.00,176.90
2014-12-30,181.00,180.30
2015-01-03,183.00,181.00
2015-01-05,182.00,181.10
